"RUID","UID","Census","Set","SubSet","PlotCode","Plot","Tra","Qua","Crit","Sample","Tag","Species","PosX","PosY","Sup","Rep","FrutPerBranch","NumbBranch","AvrgSeeds","CAR","RecrYr","DeadYr","ExcYr","RincYr","Height","CovD1","CovD2","DBH01","DBH02","DBH03","DBH04","DBH05","DBH06","DBH07","DBH08","DBH09","DBH10","DBH11","DBH12","DBH13","DBH14","DBH15","DBH16","DBH17","DBH18","DBH19","DBH20","DBH21","DBH22","DBH23","DBH24","DBH25","DBH26","DBH27","DBH28","DBH29","DBH30","minDBH","maxDBH","Basal.cm2.plot","Basal.m2.ha","Cob.m2.plot","Cob.m2.ha","Dens.ha","Rec.ha","Mu.ha","Stems","Observaciones.anuales","Historial.de.objeto","X","id","Age.init","Fst.cens","plot","Age.census","TotFrut","TotSeeds"
"21390503","213905",2003,"SecCan",NA,"SC03","SEP",4,"3","B","400","49","Mimosa acantholoba","0.1","11.75",1,"",NA,NA,NA,NA,NA,NA,NA,NA,6.5,3.7,3.1,6.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.25,6.25,"306796157577","0.076699039",90085169342,"2252129233542","25","0",0,1,"claramente 1 solo tronco sin ramificar desde base","","","pSEPi49q3",40,2003,3,40,0,0
"21392903","213929",2003,"SecCan",NA,"SC03","SEP",4,"3","B","400","50","Mimosa acantholoba","1.37","11.9",1,"",NA,NA,NA,NA,NA,2009,NA,NA,6.5,3.8,4.7,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,7.7,"465662571078","0.116415643",140272111983,"350680279957","25","0",0,1,"claramente 1 solo tronco sin ramificar desde base","","","pSEPi50q3",40,2003,3,40,0,0
"21393603","213936",2003,"SecCan",NA,"SC03","SEP",4,"3","B","200","55","Mimosa acantholoba","3.8","12",1,"",NA,NA,NA,NA,NA,2005,NA,NA,5.7,2.15,2,3.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.55,3.55,"98979803542","0.049489902",33772121026,"1688606051305","50","0",0,1,"no muy vigorosa","","","pSEPi55q3",40,2003,3,40,0,0
"21399803","213998",2003,"SecCan",NA,"SC03","SEP",4,"3","B","200","59","Mimosa acantholoba","2.35","14.27",1,"",NA,NA,NA,NA,NA,2013,NA,NA,5.4,2,1.8,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,4.2,"138544236023","0.069272118",28274333882,"1413716694115","50","0",0,1,"chica. no muy vogorosa","","","pSEPi59q3",40,2003,3,40,0,0
"21400103","214001",2003,"SecCan",NA,"SC03","SEP",4,"3","B","400","63","Mimosa acantholoba","3","14.65",1,"",NA,NA,NA,NA,NA,2007,NA,NA,6.2,2.3,2.1,5.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.65,5.65,"250718728711","0.062679682",37934731292,"948368282302","25","0",0,1,"ok. c/ rama baja muerta","","","pSEPi63q3",40,2003,3,40,0,0
"21401803","214018",2003,"SecCan",NA,"SC03","SEP",4,"3","B","400","62","Mimosa acantholoba","3.1","14.7",1,"",NA,NA,NA,NA,NA,2016,NA,NA,6.9,6.8,4.4,6.1,7.8,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,9.4,"1464060716389","0.366015179",234991130489,"5874778262213","25","0",0,3,"","","","pSEPi62q3",40,2003,3,40,0,0
"21402503","214025",2003,"SecCan",NA,"SC03","SEP",4,"3","B","400","61","Mimosa acantholoba","4.1","14.8",1,"",NA,NA,NA,NA,NA,NA,NA,NA,6.5,3.3,2.3,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,7.5,"441786466911","0.110446617",59611720602,"1490293015047","25","0",0,1,"ok. c/ rama baja mta.","","","pSEPi61q3",40,2003,3,40,0,0
"21405603","214056",2003,"SecCan",NA,"SC03","SEP",4,"4","A","400","76","Mimosa acantholoba","3.1","18.15",1,"",NA,NA,NA,NA,NA,2009,NA,NA,5.85,2.8,2.6,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,6.4,"321699087728","0.080424772",57176986295,"1429424657383","25","0",0,1,"c/ 1 rama gde. aplastada por liana mta.","","","pSEPi76q4",40,2003,3,40,0,0
"21407003","214070",2003,"SecCan",NA,"SC03","SEP",4,"4","A","400","75","Mimosa acantholoba","3.6","18.45",1,"",NA,NA,NA,NA,NA,NA,NA,NA,5.95,4.15,3.8,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,7.2,"407150407905","0.101787602",123857290368,"3096432259194","25","0",0,1,"crec de lado. 1 ramif. gde. der.","","","pSEPi75q4",40,2003,3,40,0,0
"21559604","215596",2004,"SecCan",NA,"SC04","ABE",1,"2","C","100","27","Mimosa acantholoba","3.25","5",1,"",NA,NA,NA,NA,NA,2008,NA,NA,3.27,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,"17671458676","0.017671459",0,"0","100","0",0,1,"","","","pABEi27q2",10,2003,4,11,0,0
