"Age","ln.h1","ln.h2","h1","h2","PlotCode","sup","UID","Census","maxDBH"
7,0.314810739840034,0.438254930931155,1.37,1.55,"10","1","SS10-447393",2005,0.72
8,0.438254930931155,0.60431596685333,1.55,1.83,"10","1","SS10-447393",2006,0.74
9,0.60431596685333,0.576613364303994,1.83,1.78,"10","1","SS10-447393",2007,1.74
10,0.576613364303994,0.641853886172395,1.78,1.9,"10","1","SS10-447393",2008,1.6
11,0.641853886172395,1.02961941718116,1.9,2.8,"10","1","SS10-447393",2009,1.7
12,1.02961941718116,1.24703229378638,2.8,3.48,"10","1","SS10-447393",2010,2.25
12,1.24703229378638,NA,3.48,NA,"10","1","SS10-447393",2011,NA
12,NA,NA,NA,NA,"10","1","SS10-447393",2012,NA
12,NA,NA,NA,NA,"10","1","SS10-447393",2013,NA
12,NA,NA,NA,NA,"10","1","SS10-447393",2014,NA
12,NA,NA,NA,NA,"10","1","SS10-447393",2015,NA
12,NA,NA,NA,NA,"10","1","SS10-447393",2016,NA
3,NA,0.62057648772511,NA,1.86,"11","1","SS11-447959",2003,1.85
4,0.62057648772511,0.867100487683383,1.86,2.38,"11","1","SS11-447959",2004,2.22
5,0.867100487683383,1.02961941718116,2.38,2.8,"11","1","SS11-447959",2005,2.17
6,1.02961941718116,0.974559639998131,2.8,2.65,"11","1","SS11-447959",2006,2.175
7,0.974559639998131,1.1314021114911,2.65,3.1,"11","1","SS11-447959",2007,2.42
8,1.1314021114911,0.974559639998131,3.1,2.65,"11","1","SS11-447959",2008,2.8
9,0.974559639998131,1.02245092770255,2.65,2.78,"11","1","SS11-447959",2009,3.1
10,1.02245092770255,1.32707500145992,2.78,3.77,"11","1","SS11-447959",2010,3.3
3,NA,0.231111720963387,NA,1.26,"11","1","SS11-448031",2003,0.52
4,0.231111720963387,0.2390169004705,1.26,1.27,"11","1","SS11-448031",2004,1.12
5,0.2390169004705,0.470003629245736,1.27,1.6,"11","1","SS11-448031",2005,1.99
6,0.470003629245736,0.412109650826833,1.6,1.51,"11","1","SS11-448031",2006,0.928
7,0.412109650826833,0.657520002916794,1.51,1.93,"11","1","SS11-448031",2007,0.96
8,0.657520002916794,0.470003629245736,1.93,1.6,"11","1","SS11-448031",2008,1.2
9,0.470003629245736,0.732367893713227,1.6,2.08,"11","1","SS11-448031",2009,1.4
10,0.732367893713227,0.871293365943419,2.08,2.39,"11","1","SS11-448031",2010,1.3
3,NA,0.0582689081239758,NA,1.06,"11","1","SS11-448284",2003,0.57
4,0.0582689081239758,0.29266961396282,1.06,1.34,"11","1","SS11-448284",2004,0.78
5,0.29266961396282,0.364643113587909,1.34,1.44,"11","1","SS11-448284",2005,0.79
6,0.364643113587909,0.29266961396282,1.44,1.34,"11","1","SS11-448284",2006,0.772
7,0.29266961396282,0.587786664902119,1.34,1.8,"11","1","SS11-448284",2007,1.17
8,0.587786664902119,0.65232518603969,1.8,1.92,"11","1","SS11-448284",2008,1.2
9,0.65232518603969,0.683096844706444,1.92,1.98,"11","1","SS11-448284",2009,1.43
10,0.683096844706444,0.8754687373539,1.98,2.4,"11","1","SS11-448284",2010,1.35
