UID, Año,Plot,Einicial,Ecenso,Trans,Cuadro,Sample,Categoría,Etiqueta,Especie,X,Y,Supv,Altura,DB1,DB2,DB3,DB4,DB5,DB6,DB7,DB8,DB9,DB10,DB11,DB12,DB13,DB14,DB15,DB16,DB17,DB18,DB19,DB20,DB21,DB22,DB23,DB24,DB min,DB max,AB soto (m2/1ha),AB soto (cm2/1ha),AB soto (cm2),Sample (m2),Densidad soto sitio (32m2),Regen,LF,Observaciones
SS02-433693,2014,2,23,34,3,6,32,<1,212,Mimosa eurycarpa,3.21,14.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
SS02-433693,2015,2,23,35,3,6,32,<1,212,Mimosa eurycarpa,3.21,14.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
SS02-433693,2016,2,23,35,3,6,32,<1,212,Mimosa eurycarpa,3.21,14.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
SS02-433709,2005,2,23,25,3,6,32,<1,214,Mimosa eurycarpa,3.42,14.38,1,0.51,0.31,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.31,0.002358648859453,23.5864885945296,0.075476763502495,32,1,S,T,
SS02-433709,2006,2,23,26,3,6,32,<1,214,Mimosa eurycarpa,3.42,14.38,1,0.61,0.33,,,,,,,,,,,,,,,,,,,,,,,,0.33,0.33,0.002672808124812,26.7280812481194,0.085529859993982,32,1,S,T,
SS02-433709,2007,2,23,27,3,6,32,<1,214,Mimosa eurycarpa,3.42,14.38,1,0.71,0.36,,,,,,,,,,,,,,,,,,,,,,,,0.36,0.36,0.00318086256176,31.8086256175967,0.101787601976309,32,1,S,T,
SS02-433709,2008,2,23,28,3,6,32,<1,214,Mimosa eurycarpa,3.42,14.38,1,0.74,0.4,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,0.003926990816987,39.2699081698724,0.125663706143592,32,1,S,T,
SS02-433709,2009,2,23,29,3,6,32,<1,214,Mimosa eurycarpa,3.42,14.38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,T,
SS02-433709,2010,2,23,30,3,6,32,<1,214,Mimosa eurycarpa,3.42,14.38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,T,
SS02-433709,2011,2,23,31,3,6,32,<1,214,Mimosa eurycarpa,3.42,14.38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,T,
