"ln.h1","ln.h2","sup","Age","plot","id","Census","h1","h2"
NA,-0.63487827243597,1,1,14,"p14i3",2003,NA,0.53
-0.63487827243597,0.593326845277734,1,2,14,"p14i3",2004,0.53,1.81
0.593326845277734,0.693147180559945,1,3,14,"p14i3",2005,1.81,2
0.693147180559945,0.657520002916794,1,4,14,"p14i3",2006,2,1.93
0.657520002916794,0.741937344729377,1,5,14,"p14i3",2007,1.93,2.1
0.741937344729377,NA,0,6,14,"p14i3",2008,2.1,NA
NA,0.198850858745165,1,1,14,"p14i30",2003,NA,1.22
0.198850858745165,0.559615787935423,1,2,14,"p14i30",2004,1.22,1.75
0.559615787935423,0.741937344729377,1,3,14,"p14i30",2005,1.75,2.1
0.741937344729377,0.806475865866949,1,4,14,"p14i30",2006,2.1,2.24
0.806475865866949,0.887891257352457,1,5,14,"p14i30",2007,2.24,2.43
0.887891257352457,NA,1,6,14,"p14i30",2008,2.43,NA
NA,0.587786664902119,1,7,14,"p14i30",2009,NA,1.8
0.587786664902119,NA,0,8,14,"p14i30",2010,1.8,NA
NA,-0.105360515657826,1,2,14,"p14i411",2004,NA,0.9
-0.105360515657826,0.405465108108164,1,3,14,"p14i411",2005,0.9,1.5
0.405465108108164,0.285178942233662,1,4,14,"p14i411",2006,1.5,1.33
0.285178942233662,0.482426149244293,1,5,14,"p14i411",2007,1.33,1.62
0.482426149244293,0.482426149244293,1,6,14,"p14i411",2008,1.62,1.62
0.482426149244293,0.871293365943419,1,7,14,"p14i411",2009,1.62,2.39
0.871293365943419,NA,0,8,14,"p14i411",2010,2.39,NA
NA,-0.0408219945202552,1,2,14,"p14i475",2004,NA,0.96
-0.0408219945202552,-0.510825623765991,1,3,14,"p14i475",2005,0.96,0.6
-0.510825623765991,NA,0,4,14,"p14i475",2006,0.6,NA
NA,0.00995033085316809,1,2,14,"p14i481",2004,NA,1.01
0.00995033085316809,0.300104592450338,1,3,14,"p14i481",2005,1.01,1.35
0.300104592450338,0.148420005118273,1,4,14,"p14i481",2006,1.35,1.16
0.148420005118273,0.336472236621213,1,5,14,"p14i481",2007,1.16,1.4
0.336472236621213,0.336472236621213,1,6,14,"p14i481",2008,1.4,1.4
