RUID,UID,Census,Set,SubSet,PlotNum,PlotCode,AbYr,PlotAge,Tra,Qua,Crit,Sample,Tag,Species,TaxRL,PosX,PosY,Sup,CAR,RecrYr,DeadYr,ExcYr,RincYr,NfouYr,Height,CovD1,CovD2,DBH01,DBH02,DBH03,DBH04,DBH05,DBH06,DBH07,DBH08,DBH09,DBH10,DBH11,DBH12,DBH13,DBH14,DBH15,DBH16,DBH17,DBH18,DBH19,DBH20,DBH21,DBH22,DBH23,DBH24,DBH25,DBH26,DBH27,DBH28,DBH29,DBH30,minDBH,maxDBH,Basal.cm2/plot,Basal.m2/ha,Cob.m2/plot,Cob.m2/ha,Dens.ha,Rec.ha,Mu.ha,Stems,Observaciones anuales
21760610,217606,2010,MatCan,NA,SC05,SEL,Mature,#VALUE!,3,3,B,500,177,Mimosa eurycarpa,S,3.45,13.56,1,,,2013,,,,4.8,2.9,3.6,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,5.4,22.9022104446696,0.0458044208893392,8.19955682586936,163.991136517387,20,0,0,1,
21759010,217590,2010,MatCan,NA,SC05,SEL,Mature,#VALUE!,3,3,B,375,381,Mimosa eurycarpa,S,0.3,13.6,1,,2005,2016,2015,,,5,2.9,3.3,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85,2.85,6.37939658219577,0.0170117242191887,7.51626042371358,200.433611299029,26.6666666666667,0,0,1,d del 09
21842910,218429,2010,MatCan,NA,SC05,SEL,Mature,#VALUE!,4,1,C,500,285,Mimosa eurycarpa,S,4.63,1.3,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
21811510,218115,2010,MatCan,NA,SC05,SEL,Mature,#VALUE!,4,3,B,500,244,Mimosa eurycarpa,S,0.85,11.65,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
21795810,217958,2010,MatCan,NA,SC05,SEL,Mature,#VALUE!,4,4,A,500,241,Mimosa eurycarpa,S,2.2,17.82,1,,,2016,,,,5.9,4.5,2.9,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,11.5,103.868907109313,0.207737814218625,10.2494460323367,204.988920646734,20,0,0,1,inclinada la coccoloba le quita lugar
12226211,122262,2011,MatCan,Phy,MP02,ISA,Mature,#VALUE!,5,2,B,500,1142,Mimosa eurycarpa,S,1.92,6.2,1,,,2016,,,,6,3.5,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,78.5398163397448,0.15707963267949,16.4933614313464,329.867228626928,20,0,0,1,
13312211,133122,2011,MatCan,Phy,MP04,LE1,Mature,#VALUE!,3,1,B,375,Y424,Mimosa eurycarpa,S,3.88,2.53,1,,,,,,,5.12,1.5,2.89,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,4.1,13.2025431267111,0.0352067816712296,3.40470103832794,90.792027688745,26.6666666666667,0,0,1,Incluir desde 2008.
21789711,217897,2011,MatCan,NA,SC05,SEL,Mature,#VALUE!,3,1,C,500,200,Mimosa eurycarpa,S,0.26,1.8,,,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
21771211,217712,2011,MatCan,NA,SC05,SEL,Mature,#VALUE!,3,1,C,500,186,Mimosa eurycarpa,S,1.46,4.99,1,,,2016,,,,5.3,,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,9.9,76.9768739945839,0.153953747989168,0,0,20,0,0,1,inclinada. Sin etiqueta
21760611,217606,2011,MatCan,NA,SC05,SEL,Mature,#VALUE!,3,3,B,500,177,Mimosa eurycarpa,S,3.45,13.56,1,,,2013,,,,4.9,2.6,3.1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,19.6349540849362,0.0392699081698724,6.33030919698343,126.606183939669,20,0,0,1,
21759011,217590,2011,MatCan,NA,SC05,SEL,Mature,#VALUE!,3,3,B,375,381,Mimosa eurycarpa,S,0.3,13.6,1,,2005,2016,2015,,,5.1,2.7,3.2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,7.06858347057703,0.0188495559215388,6.78584013175395,180.955736846772,26.6666666666667,0,0,1,
21842911,218429,2011,MatCan,NA,SC05,SEL,Mature,#VALUE!,4,1,C,500,285,Mimosa eurycarpa,S,4.63,1.3,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
21811511,218115,2011,MatCan,NA,SC05,SEL,Mature,#VALUE!,4,3,B,500,244,Mimosa eurycarpa,S,0.85,11.65,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
21795811,217958,2011,MatCan,NA,SC05,SEL,Mature,#VALUE!,4,4,A,500,241,Mimosa eurycarpa,S,2.2,17.82,1,,,2016,,,,5.9,4.4,5.1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,113.097335529233,0.226194671058465,17.6243347866387,352.486695732775,20,0,0,1,inclinada. la coccoloba le quita lugar
12074512,120745,2012,MatCan,Phy,MP02,ISA,Mature,#VALUE!,1,1,C,500,A47,Mimosa eurycarpa,S,4.1,3.05,1,,2012,2016,2015,,,2.72,1.72,0.2,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,10.3,83.3228911548353,0.166645782309671,0.270176968208722,5.40353936417445,20,20,0,1,
12226212,122262,2012,MatCan,Phy,MP02,ISA,Mature,#VALUE!,5,2,B,500,1142,Mimosa eurycarpa,S,1.92,6.2,1,,,2016,,,,6.2,4.28018691180654,4.28018691180654,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,11.5,103.868907109313,0.207737814218625,14.3884943534413,287.769887068825,20,0,0,1,
